YEAR,MONTH,ENSO
2015.0,6,1.9
2015.0,7,1.79
2015.0,8,1.95
2015.0,9,2.24
2015.0,10,2.15
2015.0,11,1.93
2015.0,12,1.93
2016.0,1,1.93
2016.0,2,1.8
2016.0,3,1.32
2016.0,4,1.32
2016.0,5,1.24
2016.0,6,0.35
2016.0,7,-0.54
2016.0,8,-0.26
2016.0,9,-0.29
2016.0,10,-0.53
2016.0,11,-0.47
2016.0,12,-0.37
2017.0,1,-0.42
2017.0,2,-0.41
2017.0,3,-0.58
2017.0,4,-0.19
2017.0,5,0.2
2017.0,6,-0.23
2017.0,7,-0.63
2017.0,8,-0.72
2017.0,9,-0.73
2017.0,10,-0.59
2017.0,11,-0.62
2017.0,12,-0.74
2018.0,1,-0.79
2018.0,2,-0.71
2018.0,3,-0.8
2018.0,4,-1.32
2018.0,5,-0.94
2018.0,6,-0.51
2018.0,7,-0.05
2018.0,8,0.47
2018.0,9,0.62
2018.0,10,0.52
2018.0,11,0.33
2018.0,12,0.18
2019.0,1,0.09
2019.0,2,0.5
2019.0,3,0.76
2019.0,4,0.3
2019.0,5,0.23
2019.0,6,0.35
2019.0,7,0.3
2019.0,8,0.32
2019.0,9,0.16
2019.0,10,0.31
2019.0,11,0.47
2019.0,12,0.36
2020.0,1,0.24
2020.0,2,0.26
2020.0,3,0.13
2020.0,4,-0.15
2020.0,5,-0.23
2020.0,6,-0.68
2020.0,7,-0.94
2020.0,8,-0.96
2020.0,9,-1.15
2020.0,10,-1.17
2020.0,11,-1.13
2020.0,12,-1.14
2021.0,1,-1.2
2021.0,2,-0.96
2021.0,3,-0.79
2021.0,4,-0.95
2021.0,5,-1.07
2021.0,6,-1.05
2021.0,7,-1.44
2021.0,8,-1.29
2021.0,9,-1.37
2021.0,10,-1.46
2021.0,11,-1.39
2021.0,12,-1.2
2022.0,1,-1.01
2022.0,2,-0.98
2022.0,3,-1.31
2022.0,4,-1.6
2022.0,5,-1.63
2022.0,6,-1.9
2022.0,7,-2.17
2022.0,8,-1.75
2022.0,9,-1.73
2022.0,10,-1.72
2022.0,11,-1.53
2022.0,12,-1.27
2023.0,1,-1.11
2023.0,2,-0.91
2023.0,3,-0.76
2023.0,4,-0.36
2023.0,5,-0.06
2023.0,6,0.43
2023.0,7,0.51
2023.0,8,0.51
2023.0,9,0.69
2023.0,10,0.48
2023.0,11,0.91
2023.0,12,1.13
2024.0,1,0.7
2024.0,2,0.68
2024.0,3,0.78
2024.0,4,0.34
2024.0,5,0.12
2024.0,6,-0.24
2024.0,7,-0.72
2024.0,8,-0.73
2024.0,9,-0.65
2024.0,10,-0.51
2024.0,11,-0.68
2024.0,12,-0.91
2025.0,1,-1.0
2025.0,2,-0.83
2025.0,3,-0.68
2025.0,4,-0.38
2025.0,5,-0.36
2025.0,6,-1.17
2025.0,7,-1.22
2025.0,8,-0.87
2025.0,9,-1.12
2025.0,10,-1.19
2025.0,11,-1.06
2025.0,12,-0.77
